order_id,customer_id,order_date,product_id,product_name,product_price,quantity
41,134,2023-09-25,P41,Air Conditioner,500,1
42,135,2023-10-15,P42,Oven,300,1
43,136,2023-10-25,P43,Microwave,150,2
44,137,2023-11-15,P44,Refrigerator,800,1
45,138,2023-11-25,P45,Washing Machine,500,1
46,139,2023-12-15,P46,Dishwasher,400,1
47,140,2023-12-25,P47,Coffee Maker,100,2
48,141,2024-01-15,P48,Blender,150,1
49,142,2024-01-25,P49,Toaster,50,2
50,143,2024-02-15,P50,Kettle,30,1
51,144,2024-02-25,P51,Iron,40,2
52,145,2024-03-15,P52,Hair Dryer,60,1
53,146,2024-03-25,P53,Electric Shaver,80,2
54,147,2024-04-15,P54,Laptop,1200,1
55,148,2024-04-25,P55,Smartphone,800,2
56,149,2024-05-15,P56,Headphones,150,3
57,150,2024-05-25,P57,Smartwatch,250,1
58,151,2024-06-15,P58,Tablet,400,2
59,152,2024-06-25,P59,Air Conditioner,500,1
60,153,2024-07-15,P60,Oven,300,1
61,154,2024-07-25,P61,Microwave,150,2
62,155,2024-08-15,P62,Refrigerator,800,1
63,156,2024-08-25,P63,Washing Machine,500,1
64,157,2024-09-15,P64,Dishwasher,400,1
65,158,2024-09-25,P65,Coffee Maker,100,2
66,159,2024-10-15,P66,Blender,150,1
67,160,2024-10-25,P67,Toaster,50,2
68,161,2024-11-15,P68,Kettle,30,1
69,162,2024-11-25,P69,Iron,40,2
70,163,2024-12-15,P70,Hair Dryer,60,1
71,164,2024-12-25,P71,Electric Shaver,80,2
